,text,cEXT,cNEU,cAGR,cCON,cOPN,no. of. words,cEXT1,cNEU1,cAGR1,cCON1,cOPN1
10,sit library right know theacross jester center hard work try think things write hear move seat make creak noise go guy sit boy sleepy neck cramp go guy move seat fountain look thismaking noise okay stop boy tire wish sleep right hear people walk distance flip page book wonder look probably ultra tough class man tire excuse stop write second boy glass eyesight bad figure wear glass th grade like think cool despise wear glass hurt ears give headache need pull chair little man wish massage neck shoulder preferably girl worse begin feel pain forearm write think shape forearm hurt wow truly horrific blur man kill everythis room saw probably able identify police boy sight bad good aboutmore minutes write wish sleep right finish write assignment man mean type great get real soon better neck cramp things worse sit write minutes stream conscience eye droop heavy chest pain way sit right arm tire stop dude aboutmore minutes time sure fly real fast yeah right cool guy outline roadrunner shirt man little noisy mean library man people try write assignment psychology man dude hear door open shut alright finally stop hope like minutes life tube thank lot kid ,y,y,y,y,y,197,1,1,1,1,1
11,assignmenttimes pastminutes change screen look keyboard apologize receive copy assignment case write write think firstly roommate room listen loudly apparently regard fact homework volume television stop complete thoughts suppose ideal purpose irritate dislike stream consciousness write especially read virginia woolfe year english class give similar assignment tell complete assignment teacher specifications think clearly speak circumstances rework thoughts head feel strong enter argument greatly enjoy debate accuse make completely outlandish argument goal place fall different train mention brother father argue constantly grow insult reason insult pass forth unorthodox deprive reason goal speak especially debate sure argument beat irrational statement mean rational statement let irrational statements defeat favorite aspect debate actually get time assign write fake model unite nations conference present want pass fact partner rarely want bill propose pass want people argue case try bill interest darkly satirical arguments base moral rationalization common reason moral debate likely interest defeatedwho will moral bill pass write lose train think believe usually think result confine experiment discover think quickly normally explain type normally think try think slowly articulately speak make look ignorant say point possible flaw ways trace thoughts fact run things finish aboutminutes away like apologize spell errors sure assignment mean errors natural word know spell mean word look write idiot talented typist finger slip key fix errors contradictory nature assignment time write realize occasionally clear concise think head write thoughts possibly transfer paper rate pass hate leave impression ignorant think main reason dislike assignment read exactly hope appear ignorant grind hate write professor psychology sure analyze necessary assignment honestly probably jut talk honest answer hit nineteen minutes suppose sentence good place finish ,n,n,n,n,n,270,0,0,0,0,0
12,sit think wait home sleep think girlfriend care know notre dame football pop head decide slow type type faster think think stop think project ask question ring dirty huge notre dame fan go wait year feel bad correct word girl know freshman year highschool pop head cool cool girlfriend sweetest thing world love cuddle make happy movies see pop head think assignment wrong let mrs dolce mrs angel guess suppose thoughts dwell best friend play soccer wonder move dallas teresa baxter trial work driver want notre dame versus purdue guy cut hair know thing notre dame say teresa think time long little go enjoy feel think teresa way wander send button time tomorrow morning science homework hope teresa stick long time think cool question love come know love know feel sorry fore amy alexis thoughts cool take go happen content french class suck try hopefully teacher see help past hair look pretty cool right cut think hear library return thing annoy hear weird noise skyline pretty cool light numerous office build scare night especially little noise make jump excite minutes leave half way teresa andour date thing river hope care ticket day bad day pretty good far hour leave onlymore day teresa andtill notre dame play purdue live good life pay day friday math teacher great santa clausethese malls christmas holiday wonder time finally home wait pretty cool able work access justfloor onlyminutes leave excite bunch motor cycle outside annoy home work program tomorrow right giveshours lovely project sure second assignment sound rude extremely tire cranky sorry grouchy wonder teresa think think lot noise scary nose itch green light cool build lake time sign send key happy man head hurt hope teresa straw project come wonder friends go meet like like cool ,n,y,n,n,n,292,0,1,0,0,0
13,long class complete assignment think time minutes jeez like long time sit ramble typingline hit return send line think gon na try happen whoa way cool man like totally cool gon na bore right minute elapse eat dinner hamburger eat night bore cool yes yes cause speak doubt rock speak know say stop explain tell cause hurt song good love start play radio like sad songs think think good soul teacher pick pick raise hang butcalling like misspellbecause pronounce noon say spacethen sound look soo weird ahhhh slowly go crazy switch slowly go crazy switch know cool assignment think cool jut talk like totally go tangents want speak tangents hate precalculus think calculus college cause roommate later say hard wiz math community college maybe yeah yeah yeah ogh roommate kareem friend houston like move kinda annoy feel bad cause likebest friends like wan na anymore tell want want want future forget past wan na better fast spice girls suck listen new right get radio station kvrx apply position thrill wan na hear guy wannabe lover get ta friends song call get ta cooler gon na like long minutes gon na girl psych today friend say stick superficial keep whisper superficial turn mean superficial know case think paper rock man bet freaky ones like end world come austin mtv video music award hours like catch net watch award suck go home weeks friend bisexual encounter tonite pretty weird huh understand concept bisexuality think bisexual hey print class cause tell like people weird weird lab rat rat wan na guinea pig gay friends believe bisexuality guess lot gay friends case work gap summer actually like coolest job far illustrious career work world minutes yay hell gon na read roommate come home dork bathroom rite tell cause interrupt cause want write phone talk phone phone naji kareems friend bond better kareem feel bad take friend away help better know know long like type hours suck yall blast minutesminute kareem scream paper little know minutes cool love read knowledge power teachers give away free sweet actually believe fee include class like teachers compensate sort somebody pay away knowledge real actually sad attach talk later love joshua ,n,y,y,n,n,362,0,1,1,0,0
14,sit write stuff paper think go tonight pretty happy navy pay money money paper hop little easier type time go slow wait girl cute concentratething long time people talk take attention football game tomorrow go body gung go big deal watch lance corporal ruther late suck write stuff thoughts weird thing look bring think book people talk think certain thing like ignore room time today wonder probably aboutquarters big deal good open alot later clock extra study rotc unit good way guess wonder late stay today matter guess want tonight thisnight drink plan real bad people try figure total hours need doubt help funny people use study hours try figure little things study think time hope close assignment mind pretty simple hard write long ,n,n,y,y,n,124,0,0,1,1,0
15,problem hair wet dry assignment need sleep throughclock class keep get cheezier cheezier dear cash check deposit check book balance need quickly pay extra hot check write minutes probably shorter slower typist people kristen psycho whore hate hate shock happen second think days live good addict keri nice austin finally probably long ,y,n,y,n,n,52,1,0,1,0,0
16,psychologists try understand mind work work case things understand merely delude knowledge kind attain guess psychology pretentious field interestingall want control live anticipate action desire help maintain facade control get philosophical realm moment thoughts free merely illusion think lot unfortunately definitive answer question god hear logically sound argument existence god allow possibility deity certainly christian god think ultimately agree existentialists proof existence god stop waste time speculate deal life people deal fear death make create religions pretend semblance life earthly body die new thoughts think demand mind move easily pathways know present coherent ideas actually read understand human object body body mind vast complex feel superior analyze mind ask ask enjoy treat people object admit conscious mind treat people object possible slightly unfair profession good raise question bite complacent easily control need religion think need buy morality moralists philosophers respect plato logic kierkegaard theism kant explications metaphysics epistemology nietzsche end days lavey dependence rituals arrogance psychologists behavioral scientists stay away point turn freud pretentious assumptions read fiction lot dozen author subject judgments music music important music listen indiscriminately think real understand note rhythms chord instrumentation require beforecan kind music understand music react question ask question instead ask get interest responses assignment care turn colleague say hey kid actually make futile attempt understand motives fun role reversals consider produce surreal ramble narrative assignment take bite seriously bob get wacko time pass pursuits await goodbye ,n,n,n,n,y,233,0,0,0,0,1
17,freestyle try write thoughts move slowly spend day walk drag time like millions hot sun wait line age wonder right makinglong line instead lot line maybe suppose press return think right go home new apartment apartment big clean airy light texas wish apartment original onlylike world hardwood floor pet allow lasa apsa go sneak ferret place cutest bend half twist playful ferret camilla cuz kitten name camilla away hadchildren think madeline jack sure jack sound like psychopath like shin ultimate bore thoughts brain slow motion absolutely starve right eat yum pasta artichokes sushi olives steak weird taste food grow overseas remember little parent asian food liz onlyandand eat spicy kimchi mmmm fight best piece sushi baby favorite treat fish eye able stomach philippines leave wasand memory grayish image lizards window crib memories suspicious like wonder maybe young age like somebody tell love lizards outside window mind fashion blurry picture view crib hard believe person remember things happen long time ago especially remember lunch day yesterday high school physical science teacher stockwell minutes nearly thank god cuz need food probably capn crunch tuna sandwich need grocery shop interest exercise bad thoughts near beautiful stream ulysses right food main thing mind thank read ,n,n,y,n,y,201,0,0,1,0,1
18,feel good fact get assignment todaythose days feel motivate homework oppose days worthwhile excitement college start wear think reality fact finally sink hate way type field automatically sentence line think interest right feel average extremely excite unhappy think type think mind clear like usually sit right paper stray thoughts come fairly excite psychology course think course interest helpful plan medicine boy minutes go slowly think type fast suppose sit wait till think come type try type current thoughts feel roommate type annoy turn fan fairly loud switch stray thoughts guess compose sentence thoughts assignment think right nowminutesminutes buy answer machine today beforecan upper east jester floor meet free pizza hope double dave good pepperoni roll know pizza minutes ,n,n,y,y,y,118,0,0,1,1,1
19,okay go freeze lab project thatwill read hey want negative let start want start time like serve volleyball stick reason start like trust think right professor know talk think dog yea pennebaker think make assignment difficult know spell word right hand tire sure remind little girl lay bed night try think thinkingthoughts time think think think time sing song head project work like thoughts second time write downthought miss accurate stream consciousness bell go think alarm think matter wasseemed care think thoughts people arestage dream friend amber mom own weird new age shop lot drean stuff woman tell future like work new york john boss go psychic think woman eye green like possess think john dumb things cocaine man mess wish stay job long wonder people like john people head shoulder guess go learn psychology hope little brother make school year mom dad grade good sort break heart wonder world write thoughts half time know think like thoughts overlap time wait till result audition today assignment funny bet bunch people come write thing like diary read tire man tire clock morning push button help guy experiment look screen time like press space bar make self conscience stupidest thoughts eyelids close want lunch girl today young head get heavy funny like dramatic comedy guess think theatre term lot huh think dad right grow remember start thing think minutes red headband cold arm noon sound type key chair hurt time push fall bring extra pad today guy read hope gross love find god sky beautiful sun big sleepycan understand big guy leave sound cut thoughts erase write ruin experiment sound flip page ,y,y,y,n,y,270,1,1,1,0,1
20,miss way life little bite fun cool bad time feel like miss life close friends bother way things better know cuz way feel begin life big change happen kinda irritate marissa guess easy new people meet meet boys cus pretty silly perfect little blonde love good time tire feel like luckier think like john annoy fault write dumb mail feel somewhat satisfy realize like cus life annoy hate computers like thehave home know miss able chat line amy steph wish canada hell probably girl look like buff good look type know stomach keep make nasty noise whish get embarrass class worry school work know need things stress stuff ned tomorrow class come latin math bio latin discussion run errands phone call maybe marissa hang christina want involve wesly group feel belong get tell know pepped guess go home weekend homesick get maybe need talk friend john later maybe liz brady poor brady like feel confuse need write shawna maybe phone need cellular want liz lot hate type cus look key lot fingernail look nasty remember day calm quiet miss lot stuff need stop way sleep day weekend cool football game need friendly meet people stuffmore minute guess till stop bet stop ,n,n,y,n,n,201,0,0,1,0,0
21,want rotc strive scholarship parent afford send allyears college need money hat rotc stupid leave face right face bullshit want military save parent money guess go man believe sleep mean oversleep nurse minutes class makesclasses miss chemistry lab straight succeed parent work hard damn perfectly happy live small apartment work waitress waitress teacher care money owe tom parent go like brother damn need buy shoe polish brasso rotc gaw hate rotc take hours plusmore hours rotc freakin freshman man minutes hate roommate bitch pig eat peach say havenot tire techno music like rap play shit wish sabrina hurry hungry stress need break summer short miss louis miss sex need sex relieve stress morals yeah right sex guy will sex damn attractive like magnet think thing go look sure go need start concentrate get mind fit instead body time wish smart people want pediatrician actually want veterinarian lifetime hopefully prepare love louis want marry faithful love love son perrion perrion love perrion wish love father little boy damn hate mother jealous life shelly malley hate hate nice person hurt soul night pound ass self control maturity damn felt good break face miss leona believe want spend time come visit hurt bad love girl like sister happen love ones leave leave right soon daddy go pass away want daddy love god someelse pain suffer deserve god fuck charles manson guy kill little girl killeen daddy fair okay minutes pass ,n,y,y,n,y,237,0,1,1,0,1
22,neighbor hall let use online go kinsolving lab close stink tire sleep night girls wing go frat party wind stay dorm watch movies turn outroommate friends psy class think neat class huge surprise see high school friends want talk college assignment foremost thing mind right cowboys kick season tomorrow noon work aboutmonths somewhat obligate watch fact step father fan years able bluebook autograph troy aikman father day year enjoy give love give gift favorite thing love people happy people think crazy think great reason enjoy intern ship cowboys letter sick child heart sink know send cowboys feel better distract state let minutes write roommate talk special talents tell find hole sidewalks yes walk guadalupe fall hole look like fool people happen walk hey step mom get new car dad buy oldfrom man say send month takeweek vacation south dakota buy new car month subject somewhat depress minutes write handle hey bet tell slow typer sure great talk good friend tex goodbye good luck ,n,y,y,y,n,163,0,1,1,1,0
23,feel jealous right get email fromfriends inform girlfriend date new person make mad know like anymore forget hot maybe recent news guess need cool like everybody nice try think type get particular song head rid aggravate tire wish nap dorms loud wow pretty wonder future wife maybe maybe wonder ask emily dinner tonight think way ask make sound like date fear reject guess piss friended think real reason mention hope rot hell emily nice mature consider big sister act like get sick jester food taste like shit attractive girl pretty exceptions course far like college play work course people overwhelm diversity organization like atmosphere game night blast fun game spirit energy run air band best thing happen long time teach lot think grow speak idea lab strike funny people right sense privacyever look people work organization chaos like macs better know appeal wish girlfriend long time miss like fact parent live think live state city half like security nice miss homesick wish stay forever want job time feel bad parent pay education way love family know ready start work class start bore wonder ginny like high school live far away alabama love date maybe get chance damn wish opportunity girls pretty way important things like distraction hurt think go problem good adaptation think time ,y,n,y,y,n,214,1,0,1,1,0
24,wow day hectic feel relieve get math class need finally people math dept sit desk ones unfortunately deal rude things pace students class things annoy lady let permission form mean college god sake read write understand things pretty think blank unique let home decide exact class want come day wait long line deal rude lady know job tedious bore like deal add drop know want tex anymore biggest pain run frustration give professor office hours hours day sit class accept late assignments miss try homework get book homework get help friend go math dept open class go wait decide open doors professor want open process lady finally nice let class professor get stuff sign say people thank let hope understand professor maybe let assignments miss like math moment tick entire idea math ordeal aspect university feel like matter ssn deal feel like push want know able class want time want exactly want register orientation summer definitely lucky get want work feel unimportant math dept lady care problem expect tell procedure maybe heart know feel small belittle guess know feel bad strange way problem need care feel home belong come atlanta move know love try hop high things work exactly plan disappoint guess work deal problems bigbut love glad feel like mad right decision meet people great friends care help problems help make great bond feel love feel badly feel genuinely want hang maybe perception feel way question try believe think think analyze deeply think subconsciously make believe know truly feel genuine feel friends true friends true reason think stop analyze bite ,y,n,y,y,y,261,1,0,1,1,1
25,sit dorm room think suppose tonight sign fraternity sigma alpha sure pledge go like tough easy roommate go nap need try quiet type kind anxious year year like people sure fit track easily go house go introduce older guy probably introduce rest pledge class anxious meet cool guy go spend rest life college hopefully miss close friends home live atlanta georgia go uga spread country miss friend pamela best friend michael nd hey hope come visit mom worry cause think alot bad thing school good kid try good grade miss little brother years old th grade hope fun junior high school cause know tell high school best time life believe wait year high school great grandmother sick years old go visit day leave school think live long happy life time come know god thewho want roommate go nap real suppose wake hour hope type room quiet onlystill make noise suite mat class soon kind think go older marry go marry profession go want orthopedic surgeon hard sure set goals destiny future want successful family nice look perfect wife love look like money end stories quote shoot moon cause miss star ,y,n,y,y,n,190,1,0,1,1,0
26,get aol best friend form home weekend family love mom want marriedthese cool hot know cause like girlfriend talk lot come go school hawaii break date miss miss friends watch sniffle love funniest love school busy pass frat party cause get work afford longer sleep week get hours sleep think ill sleep early tonight askfriends form home pledge party weekend ato number campus rat rat way girl hot want long time kingwood get far big sorority ask tomorrow think boyfriend want taco bell favorite food eat mexican food nights row haven ,y,n,y,y,n,91,1,0,1,1,0
27,type friends family notice today creative write worry care let ideas lose come time dread english class requirespage paper wonder line stop page long wow type small deep breath guy pass keyboard okay idea believe computers mad figure crap completely simply cure thestory want tell short sweet little scary reason think use go promise force join grow technological world difficult go write lab large space time betweenclasses todayhour space good believe think people labs little curious write computers know wonder people admit look word type screen rudely guy sit possibly tell straight stop nope little shy think catch read life little cruel actually change mind read screen want change mind saw movie dream fish good movie screen time read think actually go wonder stand read actually change mind enjoy read people true odd thoughts like visual subject write like know appearance ask wrong want know person look like shit look like public get point people beliefs prove action action express appearance strong word honestly screw especially politics hell need read aim guy like read screen movie time compare contrast dream fishesthemain character thewho point view take movie simple depress desperate business man favorite pastime second character admit look people binoculars city windows apartment build good movie suggest see okay go scatter second character know business man watch mind know business man let main portion movie dull simple twist movie little unique bring point people spend time make movies resemble movies maybe bother ones plot plot movie freak want someday improve grammar bite dark lot fictional replay stories project think interest path accord availability remember need toothpaste possibly stuff typical college student think afford toothpaste notice kid rich actually sly movement eyebrow suppose real life right form real life growl starve thank read know secrets tellwell real individual secrets train think admit matter cause know ,y,y,n,n,y,304,1,1,0,0,1
28,okay sure begin feel betray betray friend value understand happen know things sort think college bring closer discover matter million miles away think guess wrong friends tell past look future right think break heart think little need able connect reachable right friends warn happen usual listen help want things way understand think total psycho surprise scar people meet nice people open new friends right bad idea point life open make new friends let past pursue trouble know think hurt know friendship mean talk friend friend say time try swear entirely emotional things guess miss best friends need talk sure sorority thing maybe friends know thank god girls fit sorority stereotype hell actually cool make feel better meet scar shitless afraid cry think get scar like scar like scary place right maybe felt secure friends think thisguy talk bother lot need occupy time think think psycho get stop think remember ashley say try force things mean happen try mind ash guess god point matter trust time will let handle get let guy thing worry worry best friends different school think drink right scar worry kind low self esteem sound strange think like like think way keep get arrogant hand maybe different kind arrogance think time good bad reach get stop think things trouble obsess things ones totally eat away life kill piece time lose appetite desire sit hole room feel sorry know rest world move especially college wherecares matchbox radio song push hit songs fit particularly depress aspect life want connect people way song connect need open mind carey tell need butt things go invitation remind tim colorado glad patch call come home tim birthday guess relief lie security come associate pre college thefriends say excite leave glad know like stream consciousness stuff try kiss butt write lot stuff like let steam form closure problems life think go journalism know fbi week think talk write things start friends brian hope good friends trouble college people know need friends best friends friend relate rare search feel like holden caulfield catcher kill ,y,y,n,y,y,339,1,1,0,1,1
29,stream consciousness sit bleak gray screen want yank dirty blonde lock hair right follicles sure far college lot fun program allow scroll line push enter suppose type push enter hit kind barrier type anymore go operate assumption right margin completely stress things right tomorrow heck assignment th turn guess nature tend want fun things mother freak wonder happen get upper ear pierce bet mom kill nearly freak belly button pierce feel extremely guilty feel guilty upset ruin innocence eye roommate want pierce ear honestly think capable inflict kind pain individual sure pierce bellybutton person pain feel twice bad likely tracy money professionally push enter begin frustrate type way right limit erase type type think need hate work concentrate hundreds people smf smurf smile everytime hear want buy money sell motorcycle choice mother realize run sentence fix wonder actually go read glad demented thoughts start type certain weird thoughts care admit hope bet read go think bad person like think dare thrill seek mother like think unconventional improper borderline ignorant prove wrong take step right direction join sorority think fun long stay good girls sorority experience know long period time grow tire companionship toss aside like yesterday trash thisthe confuse hurtful things life understand think nicest person know will things happy great listener get friendships especially tell things change things better college far true meet wonderful people wait know better years life train wonder long drop minutes successfully type foul mood hopereads go leave smurf castilian enjoy new friends like ,y,y,y,n,y,249,1,1,1,0,1
30,sit suitemates room listen hang poster need wash clothe kind hungry feel like dorm go want grandma need fix right get bore room need withoutwith video game bore easily feel like play pool good frustrate brother thewho fix need see see sister longer time need talk study cat cute time think sister think cat time think cat remind house dogswhich die miss dog guess second grade mean wasthetas long time dream night dog brittany die year make sad think dog stereo play remind loud thing play hear bass room get ta stop hit wall happen need tonight study need place wonder dad take kid school talk know bring like miss wheeler home love rid thing wonder ride need win lottery wheelers ride paso day leave friend reason feel lot closer weird wait thanksgiving ride think minutes wonder go probably kill time eat dinner hope good tonight lunch menu suck feel like hang friends home tonight time ,n,y,n,n,n,156,0,1,0,0,0
